full_name;name;country;location
Bishop Rock, England;Bishop Rock;England;49°45'00"N., 6°35'00"W.
Cape Leeuwin, Australia;Cape Leeuwin;Australia;34°32'00"S., 115°08'00"E.
Cape Of Good Hope, South Africa;Cape Of Good Hope;South Africa;34°22'00"S., 18°23'00"E.
Fastnet Rock, Ireland;Fastnet Rock;Ireland;51°20'00"N., 9°36'00"W
Grand Banks South;Grand Banks South;;42°30'00"N., 50°00'00"W.
Honshu, Japan;Honshu;Japan;35°00'00"N., 140°30'00"E.
Honshu Japan;Honshu Japan;Japan;35°00'00"N., 140°30'00"E.
Ile D’Ouessant, France;Ile D’Ouessant;France;48°40'00"N., 5°30'00"W.
Inishtrahull, Ireland;Inishtrahull;Ireland;55°25'00"N., 7°30'00"W.
Montreal, Canada;Montreal;Canada;45°30'00"N., 73°33'00"W.
Nord-Ostsee-Kanal (East Entrance), Germany;Nord-Ostsee-Kanal;Germany;54°22'00"N., 10°09'00"E.
Nord-Ostsee Kanal (East Entrance), Germany;Nord-Ostsee Kanal;Germany;54°22'00"N., 10°09'00"E.
Panama, Panama;Panama;Panama;8°53'00"N., 79°31'00"W.
Pentland Firth, Scotland;Pentland Firth;Scotland;58°42'00"N., 3°20'00"W.
Port Said, Egypt;Port Said;Egypt;31°16'00"N., 32°19'00"E.
Punta Arenas, Chile;Punta Arenas;Chile;53°10'00"S., 70°54'00"W.
Selat Lombok, Indonesia;Selat Lombok;Indonesia;8°50'00"S., 115°43'00"E.
Selat Sunda, Indonesia;Selat Sunda;Indonesia;6°04'00"S., 105°50'00"E.
Selat Wetar, Indonesia;Selat Wetar;Indonesia;8°19'00"S., 127°27'00"E.
Singapore;Singapore;Singapore;1°16'00"N., 103°50'00"E.
Skagens Odde, Denmark;Skagens Odde;Denmark;57°48'00"N., 10°44'00"E.
Strait Of Gibraltar;Strait Of Gibraltar;;35°57'00"N., 5°45'00"W.
Straits Of Florida;Straits Of Florida;;24°25'00"N., 83°00'00"W.
Torres Strait, Australia;Torres Strait;Australia;10°33'00"S., 142°08'00"E.
Tsugaru-Kaikyo, Japan;Tsugaru-Kaikyo;Japan;41°30'00"N., 140°40'00"E.
Wilson Promontory, Australia;Wilson Promontory;Australia;39°10'00"S., 146°26'00"E.
Yucatan Channel;Yucatan Channel;;21°50'00"N., 85°03'00"W

